job_id,account,video_path,caption,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category,pass_number
paXrraoVimpt-4.mp4_viral,podpeakbytes,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\paXrraoVimpt-4.mp4,"Grateful for every moment, big or small. Growth is a journey, not a destination.",success,3,2025-12-15T11:59:22.257139,2025-12-15T12:02:22.176190,,2,3,2025-12-15T12:04:12.211523,,,
5e8R8wyXHT0k-4.mp4_viral,micmotionclips,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\5e8R8wyXHT0k-4.mp4,"Real men build their own success from scratch, rising above circumstances.",success,2,2025-12-15T13:36:53.953751,2025-12-15T13:39:58.442807,,1,3,2025-12-15T13:41:53.809091,,,
NPnSvFzBbBGS-4.mp4_viral,podcutvault,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\NPnSvFzBbBGS-4.mp4,"Whispers of doubt echo, but your silence holds a power they can't comprehend.",success,2,2025-12-15T13:30:37.360854,2025-12-15T13:34:53.548472,,0,3,,,,
JHQaQSuas0EH-2.mp4_viral,talkreelnation,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\JHQaQSuas0EH-2.mp4,Some play chess. Others play something far more complex.,success,3,2025-12-15T13:31:37.436445,2025-12-15T13:36:11.823637,,0,3,,,,
OOfw819gtdV--2.mp4_viral,podbytezone,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\OOfw819gtdV--2.mp4,"Prove this vision right. Grind now, succeed later. Your breakthrough starts today.",success,3,2025-12-15T13:39:22.553704,2025-12-15T13:42:56.716135,,1,3,2025-12-15T13:44:19.682814,,,
XpcaWrzioQWZ-4.mp4_viral,podtalknexus,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\XpcaWrzioQWZ-4.mp4,Bold moves define legends. Break the system before it breaks you.,success,0,2025-12-15T12:00:11.472068,2025-12-15T12:03:40.636172,,2,3,2025-12-15T12:05:11.094735,,,
1fp16Sx7T1Sz-4.mp4_viral,voxpodsnaps,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\1fp16Sx7T1Sz-4.mp4,Watch me turn a mil look like child's play. Bet.,success,1,2025-12-15T12:00:21.119645,2025-12-15T12:05:35.547851,,2,3,2025-12-15T12:05:19.480035,,,
sQa4SciBOXSo-4.mp4_viral,clipsfromthemic,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\sQa4SciBOXSo-4.mp4,Shadows recede. What lies beyond the threshold of suffering whispers a promise.,success,2,2025-12-15T13:41:38.783454,2025-12-15T13:44:44.436836,,1,3,2025-12-15T13:46:37.995052,,,
5lqzVgSFLnDw-1.mp4_viral,castreelworks,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\5lqzVgSFLnDw-1.mp4,Stop wasting your potential. Build something that matters. Your future is waiting.,success,0,2025-12-15T11:52:40.558722,2025-12-15T11:55:49.038583,,0,3,,,,
rsxz1MmkYGmP-1.mp4_viral,talkgembytes,C:\Users\asus\Desktop\projects\geelark-automation\campaigns\viral\grq\rsxz1MmkYGmP-1.mp4,"Sure, nothing says financial genius like gambling on internet funny money.",success,0,2025-12-15T11:56:50.266362,2025-12-15T11:59:33.882390,,0,3,,,,
